,Unnamed: 0,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
47,47,Noah Vonleh,DEN,24,6-10,257,Indiana,USA,2014,1,9,36,3.7,3.4,0.8,-5.0,8.4%,20.5%,13.5%,62.2%,11.5%
48,48,Norman Powell,TOR,27,6-3,215,UCLA,USA,2015,2,46,52,16.0,3.7,1.8,4.6,1.7%,9.8%,21.0%,62.4%,9.5%
49,49,Norvel Pelle,PHI,27,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted,24,2.4,3.0,0.3,-15.7,8.1%,22.0%,13.1%,52.6%,4.9%
0,0,OG Anunoby,TOR,22,6-7,232,Indiana,United Kingdo...,2017,1,23,69,10.6,5.3,1.6,6.2,3.8%,12.9%,14.2%,60.0%,7.4%
1,1,Omari Spellman,MIN,22,6-8,245,Villanova,USA,2018,1,30,49,7.6,4.5,1.0,-8.5,7.6%,15.5%,17.7%,55.1%,8.6%
2,2,Oshae Brissett,TOR,22,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,19,1.9,1.4,0.4,11.6,6.3%,10.9%,14.5%,45.8%,7.4%
3,3,Otto Porter Jr.,CHI,27,6-8,198,Georgetown,USA,2013,1,3,14,11.9,3.4,1.8,3.2,3.6%,10.8%,20.1%,55.0%,11.3%
4,4,P.J. Dozier,DEN,23,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,29,5.8,1.9,2.2,-5.7,2.4%,10.8%,19.9%,49.5%,21.6%
5,5,P.J. Tucker,HOU,35,6-5,245,Texas-Austin,USA,2006,2,35,72,6.9,6.6,1.6,3.0,4.2%,13.7%,8.7%,55.9%,6.1%
6,6,P.J. Washington,CHA,21,6-7,230,Kentucky,USA,2019,1,12,58,12.2,5.4,2.1,-6.3,3.2%,14.5%,18.4%,54.7%,11.5%
7,7,Pascal Siakam,TOR,26,6-9,230,New Mexico State,Cameroon,2016,1,27,60,22.9,7.3,3.5,8.8,3.0%,16.2%,27.8%,55.4%,16.1%
8,8,Pat Connaughton,MIL,27,6-5,209,Notre Dame,USA,2015,2,41,67,5.4,4.2,1.6,3.5,4.4%,15.1%,11.8%,56.5%,11.5%
9,9,Patrick Beverley,LAC,31,6-1,180,Arkansas,USA,2009,2,42,51,7.9,5.2,3.6,10.2,4.0%,14.5%,13.1%,56.0%,18.0%
10,10,Patrick McCaw,TOR,24,6-7,181,UNLV,USA,2016,2,38,37,4.6,2.3,2.1,0.6,2.0%,6.8%,9.3%,50.0%,11.8%
11,11,Patrick Patterson,LAC,31,6-8,235,Kentucky,USA,2010,1,14,59,4.9,2.6,0.7,2.5,4.2%,13.6%,14.3%,58.0%,7.5%
12,12,Patty Mills,SAS,31,6-1,180,St.Mary's College of California,Australia,2009,2,55,66,11.6,1.6,1.8,4.1,1.4%,5.4%,19.3%,59.2%,11.2%
13,13,Paul George,LAC,30,6-8,220,Fresno State,USA,2010,1,10,48,21.5,5.7,3.9,8.7,1.7%,16.1%,29.2%,58.9%,20.5%
14,14,Paul Millsap,DEN,35,6-7,257,Louisiana Tech,USA,2006,2,47,51,11.6,5.7,1.6,9.3,7.9%,15.7%,19.7%,59.1%,9.3%
15,15,Paul Watson,TOR,25,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,10,3.1,1.7,0.8,16.3,2.0%,16.3%,14.2%,51.7%,10.7%
16,16,Quinn Cook,LAL,27,6-1,180,Duke,USA,Undrafted,Undrafted,Undrafted,44,5.1,1.2,1.1,4.5,2.0%,7.1%,20.1%,50.9%,13.9%
17,17,Quinndary Weatherspoon,SAS,23,6-3,205,Mississippi State,USA,2019,2,49,11,1.1,0.6,1.0,-13.7,1.1%,7.4%,10.7%,33.6%,18.3%
18,18,RJ Barrett,NYK,20,6-6,214,Duke,Canada,2019,1,3,56,14.3,5.0,2.6,-9.1,2.7%,13.4%,23.4%,47.9%,12.7%
19,19,Rajon Rondo,LAL,34,6-1,180,Kentucky,USA,2006,1,21,48,7.1,3.0,5.0,1.4,2.2%,11.9%,18.4%,49.4%,34.0%
20,20,Raul Neto,PHI,28,6-1,180,None,Brazil,2013,2,47,54,5.1,1.1,1.8,2.8,1.6%,7.2%,18.1%,56.7%,21.8%
21,21,Rayjon Tucker,UTA,22,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,20,3.1,1.0,0.3,-6.9,1.7%,11.3%,15.2%,58.4%,4.3%
22,22,Reggie Bullock,NYK,29,6-6,205,North Carolina,USA,2013,1,25,29,8.1,2.3,1.4,-5.8,1.8%,8.2%,15.3%,50.2%,8.7%
23,23,Reggie Jackson,LAC,30,6-3,208,Boston College,USA,2011,1,24,31,11.9,3.0,4.1,6.7,2.3%,9.4%,22.9%,52.9%,26.3%
24,24,Richaun Holmes,SAC,26,6-10,235,Bowling Green,USA,2015,2,37,44,12.3,8.1,1.0,1.2,10.1%,19.1%,15.6%,68.1%,5.0%
25,25,Ricky Rubio,PHX,29,6-3,190,None,Spain,2009,1,5,65,13.0,4.7,8.8,4.0,2.3%,12.8%,19.9%,53.5%,37.7%
26,26,Robert Covington,HOU,29,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,70,12.4,6.6,1.3,0.9,2.7%,18.0%,16.9%,55.9%,5.9%
27,27,Robert Williams III,BOS,22,6-8,237,Texas A&M,USA,2018,1,27,29,5.2,4.4,0.9,6.1,10.3%,20.9%,13.5%,72.8%,9.9%
28,28,Robin Lopez,MIL,32,7-0,281,Stanford,USA,2008,1,15,66,5.4,2.4,0.7,0.6,5.4%,9.2%,16.1%,55.4%,6.8%
29,29,Rodions Kurucs,BKN,22,6-9,228,None,Latvia,2018,2,40,47,4.6,2.9,1.1,-1.4,3.3%,14.1%,14.2%,55.5%,10.5%
30,30,Rodney Hood,POR,27,6-8,208,Duke,USA,2014,1,23,21,11.0,3.4,1.5,0.6,1.5%,9.2%,13.7%,62.5%,6.8%
31,31,Rodney McGruder,LAC,28,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,56,3.3,2.7,0.6,0.8,3.2%,12.3%,10.1%,47.7%,5.5%
32,32,Romeo Langford,BOS,20,6-4,216,Indiana,USA,2019,1,14,32,2.5,1.3,0.4,8.9,3.8%,6.5%,11.3%,43.4%,4.5%
33,33,Rondae Hollis-Jefferson,TOR,25,6-6,217,Arizona,USA,2015,1,23,60,7.0,4.7,1.8,4.2,8.9%,14.3%,16.4%,53.3%,14.1%
34,34,Royce O'Neale,UTA,27,6-4,226,Baylor,USA,Undrafted,Undrafted,Undrafted,71,6.3,5.5,2.5,5.2,1.4%,16.5%,9.5%,57.8%,11.6%
35,35,Rudy Gay,SAS,33,6-8,250,Connecticut,USA,2006,1,8,67,10.8,5.4,1.7,0.2,4.0%,19.4%,21.1%,55.3%,11.6%
36,36,Rudy Gobert,UTA,28,7-1,258,None,France,2013,1,27,68,15.1,13.5,1.5,6.2,10.4%,27.6%,16.2%,69.9%,6.5%
37,37,Rui Hachimura,WAS,22,6-8,230,Gonzaga,Japan,2019,1,9,48,13.5,6.1,1.8,-8.2,5.1%,15.5%,18.9%,53.5%,8.8%
38,38,Russell Westbrook,HOU,31,6-3,200,UCLA,USA,2008,1,4,57,27.2,7.9,7.0,3.1,4.4%,15.7%,33.0%,53.6%,34.0%
39,39,Ryan Anderson,HOU,32,6-9,240,California,USA,2008,1,21,2,2.5,3.5,1.0,21.2,0.0%,46.7%,24.2%,35.7%,16.7%
40,40,Ryan Arcidiacono,CHI,26,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted,58,4.5,1.9,1.7,-4.0,1.9%,9.8%,12.1%,55.1%,14.3%
41,41,Ryan Broekhoff,PHI,29,6-6,215,Valparaiso,Australia,Undrafted,Undrafted,Undrafted,17,4.2,2.5,0.6,2.1,2.5%,20.2%,15.5%,56.8%,8.3%
42,42,Sekou Doumbouya,DET,19,6-8,230,None,France,2019,1,15,38,6.4,3.1,0.5,-10.8,2.6%,13.7%,16.4%,47.4%,3.7%
43,43,Semi Ojeleye,BOS,25,6-6,240,Southern Methodist,USA,2017,2,37,69,3.4,2.1,0.5,-1.5,2.4%,10.9%,9.4%,56.2%,5.1%
44,44,Serge Ibaka,TOR,30,7-0,235,None,Republic of t...,2008,1,24,55,15.4,8.2,1.4,3.1,7.5%,20.5%,23.6%,58.3%,8.6%
45,45,Seth Curry,DAL,29,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted,64,12.4,2.3,1.9,3.4,1.6%,7.0%,17.6%,64.3%,11.7%
46,46,Shabazz Napier,WAS,28,6-0,175,Connecticut,USA,2014,1,24,56,10.3,2.8,4.7,-3.6,1.8%,10.0%,19.7%,55.2%,29.5%
47,47,Shai Gilgeous-Alexander,OKC,21,6-5,180,Kentucky,Canada,2018,1,11,70,19.0,5.9,3.3,3.5,2.0%,14.6%,23.5%,56.8%,14.8%
48,48,Shake Milton,PHI,23,6-5,205,Southern Methodist,USA,2018,2,54,40,9.4,2.2,2.6,0.1,1.8%,9.3%,18.6%,61.7%,18.2%
49,49,Shamorie Ponds,TOR,22,6-0,175,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted,4,2.3,0.3,0.5,-5.5,0.0%,16.7%,22.2%,76.5%,40.0%
0,0,Shaquille Harrison,CHI,26,6-7,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,43,4.9,2.0,1.1,6.8,4.2%,13.9%,17.6%,55.9%,14.7%
1,1,Sindarius Thornwell,NOP,25,6-4,215,South Carolina,USA,2017,2,48,2,8.0,2.0,2.0,-7.4,0.0%,13.3%,17.6%,62.7%,14.3%
2,2,Skal Labissiere,ATL,24,6-10,235,Kentucky,Haiti,2016,1,28,33,5.8,5.1,1.3,1.3,10.5%,15.5%,13.9%,58.8%,10.6%
3,3,Solomon Hill,MIA,29,6-6,226,Arizona,USA,2013,1,23,59,5.5,2.8,1.8,-2.1,2.6%,11.8%,13.5%,53.5%,12.4%
4,4,Spencer Dinwiddie,BKN,27,6-5,215,Colorado,USA,2014,2,38,64,20.6,3.5,6.8,1.1,1.5%,8.5%,28.7%,54.1%,34.4%
5,5,Stanley Johnson,TOR,24,6-6,242,Arizona,USA,2015,1,8,25,2.4,1.5,0.8,4.8,4.1%,16.5%,21.4%,45.4%,20.0%
6,6,Stanton Kidd,UTA,28,6-6,216,Colorado State,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.8,0.3,2.3,0.0%,15.8%,13.9%,0.0%,10.0%
7,7,Stephen Curry,GSW,32,6-3,185,Davidson,USA,2009,1,7,5,20.8,5.2,6.6,-15.3,2.3%,16.2%,28.6%,55.7%,35.5%
8,8,Sterling Brown,MIL,25,6-5,219,Southern Methodist,USA,2017,2,46,52,5.1,3.5,1.0,2.4,3.7%,16.8%,16.2%,48.6%,9.4%
9,9,Steven Adams,OKC,26,6-11,265,Pittsburgh,New Zealand,2013,1,12,63,10.9,9.3,2.3,4.4,12.8%,21.4%,16.8%,60.4%,12.8%
10,10,Svi Mykhailiuk,DET,23,6-7,205,Kansas,Ukraine,2018,2,47,56,9.0,1.9,1.9,-0.6,1.3%,7.1%,16.5%,57.8%,12.0%
11,11,T.J. Leaf,IND,23,6-10,222,UCLA,USA,2017,1,18,28,3.0,2.5,0.3,0.2,9.4%,17.4%,18.0%,45.1%,5.7%
12,12,T.J. McConnell,IND,28,6-1,190,Arizona,USA,2015,0,,71,6.5,2.7,5.0,1.1,2.8%,10.7%,16.7%,54.0%,35.4%
13,13,T.J. Warren,IND,26,6-8,220,North Carolina State,USA,2014,1,14,67,19.8,4.2,1.5,2.7,3.1%,9.2%,22.9%,61.0%,7.2%
14,14,Tacko Fall,BOS,24,7-5,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,7,3.3,2.1,0.1,12.7,3.6%,32.6%,25.0%,75.1%,6.7%
15,15,Taj Gibson,NYK,35,6-9,232,Southern California,USA,2009,1,26,62,6.1,4.3,0.8,-12.5,9.8%,15.8%,14.5%,61.0%,7.7%
16,16,Talen Horton-Tucker,LAL,19,6-4,234,Iowa State,USA,2019,2,46,6,5.7,1.2,1.0,-9.5,2.2%,5.6%,18.0%,53.5%,10.7%
17,17,Tariq Owens,PHX,25,6-10,205,Texas Tech,USA,Undrafted,Undrafted,Undrafted,3,1.3,1.0,0.0,-43.4,10.5%,6.7%,17.1%,34.0%,0.0%
18,18,Taurean Prince,BKN,26,6-7,218,Baylor,USA,2016,1,12,64,12.1,6.0,1.8,1.3,2.4%,16.2%,20.0%,49.7%,9.0%
19,19,Terance Mann,LAC,23,6-5,215,Florida State,USA,2019,2,48,41,2.4,1.3,1.3,0.1,2.6%,11.2%,12.3%,54.5%,20.9%
20,20,Terence Davis,TOR,23,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,72,7.5,3.3,1.6,7.9,3.9%,13.7%,18.1%,58.8%,14.0%
21,21,Terrance Ferguson,OKC,22,6-6,190,None,USA,2017,1,21,56,3.9,1.3,0.9,-4.0,1.9%,3.9%,9.2%,48.1%,5.5%
22,22,Terrence Ross,ORL,29,6-6,206,Washington,USA,2012,1,8,69,14.7,3.2,1.2,-2.5,0.6%,10.8%,21.6%,54.8%,7.2%
23,23,Terry Rozier,CHA,26,6-1,190,Louisville,USA,2015,1,16,63,18.0,4.4,4.1,-9.0,2.2%,10.7%,23.2%,55.3%,20.9%
24,24,Thabo Sefolosha,HOU,36,6-6,215,None,Switzerland,2006,1,13,41,2.2,2.3,0.6,3.9,4.3%,15.2%,10.0%,48.7%,7.4%
25,25,Thaddeus Young,CHI,32,6-8,235,Georgia Tech,USA,2007,1,12,64,10.3,4.9,1.8,-6.2,5.4%,14.5%,19.2%,52.1%,11.3%
26,26,Thanasis Antetokounmpo,MIL,27,6-6,219,None,Greece,2014,2,51,20,2.8,1.2,0.8,-6.8,8.5%,8.1%,20.2%,49.6%,17.4%
27,27,Theo Pinson,NYK,24,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,33,3.6,1.6,1.7,-4.6,2.4%,10.1%,21.8%,37.0%,24.0%
28,28,Thomas Bryant,WAS,22,6-10,248,Indiana,USA,2017,2,42,46,13.2,7.2,1.8,-6.6,8.1%,19.8%,18.5%,64.9%,10.7%
29,29,Thon Maker,DET,23,7-0,221,None,South Sudan,2016,1,10,60,4.7,2.8,0.7,-8.0,6.9%,15.2%,16.0%,58.2%,8.8%
30,30,Tim Frazier,DET,29,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted,27,3.6,1.2,3.4,-6.9,2.4%,7.1%,17.1%,46.4%,39.1%
31,31,Tim Hardaway Jr.,DAL,28,6-5,205,Michigan,USA,2013,1,24,71,15.8,3.3,1.9,5.9,1.1%,9.0%,20.4%,58.1%,9.6%
32,32,Timothe Luwawu-Cabarrot,BKN,25,6-7,220,None,France,2016,1,24,47,7.8,2.7,0.6,-1.3,3.0%,9.9%,16.2%,59.9%,5.2%
33,33,Tobias Harris,PHI,27,6-8,226,Tennessee,USA,2011,1,19,72,19.6,6.9,3.2,3.1,2.7%,17.2%,23.6%,55.6%,14.5%
34,34,Tomas Satoransky,CHI,28,6-7,210,None,Czech Republi...,2012,2,32,65,9.9,3.9,5.4,-1.5,4.0%,10.1%,16.5%,53.3%,26.9%
35,35,Tony Bradley,UTA,22,6-10,248,North Carolina,USA,2017,1,28,58,4.9,4.6,0.4,0.1,15.8%,22.6%,14.7%,68.1%,5.1%
36,36,Tony Snell,DET,28,6-6,213,New Mexico,USA,2013,1,20,59,8.0,1.9,2.2,-5.5,0.5%,6.4%,11.0%,59.8%,11.0%
37,37,Torrey Craig,DEN,29,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,58,5.4,3.3,0.8,-5.7,5.8%,11.8%,12.3%,55.3%,6.1%
38,38,Trae Young,ATL,21,6-1,180,Oklahoma,USA,2018,1,5,60,29.6,4.3,9.3,-4.9,1.4%,10.0%,33.9%,59.5%,42.3%
39,39,Tremont Waters,BOS,22,5-10,175,Louisiana State,USA,2019,2,51,11,3.6,1.1,1.5,8.4,0.0%,8.9%,23.2%,38.1%,19.5%
40,40,Treveon Graham,ATL,26,6-5,219,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,55,4.4,2.7,0.8,-6.2,5.0%,9.9%,13.0%,45.6%,6.9%
41,41,Trevor Ariza,POR,35,6-8,215,UCLA,USA,2004,2,43,53,8.0,4.6,1.7,-0.3,2.2%,13.7%,11.7%,59.3%,8.1%
42,42,Trey Burke,DAL,27,6-0,185,Michigan,USA,2013,1,9,33,7.4,1.5,2.5,2.0,3.0%,6.6%,19.6%,54.8%,23.4%
43,43,Trey Lyles,SAS,24,6-9,234,Kentucky,Canada,2015,1,12,63,6.4,5.7,1.1,-2.4,5.6%,22.8%,13.6%,55.7%,7.2%
44,44,Tristan Thompson,CLE,29,6-9,254,Texas-Austin,Canada,2011,1,4,57,12.0,10.1,2.1,-10.1,12.6%,20.7%,18.1%,54.0%,10.6%
45,45,Troy Brown Jr.,WAS,20,6-6,215,Oregon,USA,2018,1,15,69,10.4,5.6,2.6,-5.5,4.0%,17.1%,17.4%,52.4%,14.2%
46,46,Troy Daniels,DEN,28,6-4,200,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,47,4.3,1.1,0.4,0.4,2.0%,6.8%,15.5%,51.8%,4.7%
47,47,Ty Jerome,PHX,22,6-5,195,Virginia,USA,2019,1,24,31,3.3,1.5,1.4,-13.5,1.9%,12.0%,17.0%,42.5%,22.2%
48,48,Tyler Cook,DEN,22,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted,13,1.8,1.1,0.1,-9.8,10.3%,14.8%,15.0%,74.1%,3.1%
49,49,Tyler Herro,MIA,20,6-5,195,Kentucky,USA,2019,1,13,55,13.5,4.1,2.2,-1.7,1.1%,13.1%,21.3%,55.0%,13.1%
0,0,Tyler Johnson,BKN,28,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,39,7.0,1.9,1.9,-5.7,2.3%,7.6%,17.7%,50.4%,15.3%
1,1,Tyler Zeller,SAS,30,6-11,250,North Carolina,USA,2012,1,17,2,1.0,2.0,0.0,33.3,30.0%,33.3%,26.7%,25.0%,0.0%
2,2,Tyrone Wallace,ATL,26,6-5,198,California,USA,2016,2,60,14,2.9,1.6,0.9,-8.3,1.6%,12.3%,15.4%,38.9%,12.3%
3,3,Tyson Chandler,HOU,37,7-0,235,None,USA,2001,1,2,26,1.3,2.5,0.2,5.7,9.7%,17.2%,5.7%,71.7%,3.7%
4,4,Tyus Jones,MEM,24,6-0,196,Duke,USA,2015,1,24,65,7.4,1.6,4.4,-2.3,0.7%,7.1%,16.5%,53.2%,31.4%
5,5,Udonis Haslem,MIA,40,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,4,3.0,4.0,0.3,-20.2,2.0%,34.9%,14.7%,47.0%,4.8%
6,6,Vic Law,ORL,24,6-7,201,Northwestern,USA,Undrafted,Undrafted,Undrafted,8,1.9,1.4,0.4,-9.7,2.9%,14.5%,15.0%,36.3%,8.6%
7,7,Victor Oladipo,IND,28,6-4,213,Indiana,USA,2013,1,2,19,14.5,3.9,2.9,-1.1,1.7%,11.6%,25.9%,50.6%,15.9%
8,8,Vince Carter,ATL,43,6-6,220,North Carolina,USA,1998,1,5,60,5.0,2.1,0.8,-8.1,1.9%,11.4%,16.3%,47.0%,8.1%
9,9,Vincent Poirier,BOS,26,7-0,235,None,France,Undrafted,Undrafted,Undrafted,22,1.9,2.0,0.4,-6.5,9.0%,19.5%,14.1%,52.5%,8.8%
10,10,Vlatko Cancar,DEN,23,6-8,236,None,Slovenia,2017,2,49,14,1.2,0.7,0.2,-6.0,10.9%,11.9%,17.7%,50.7%,8.6%
11,11,Wayne Ellington,NYK,32,6-4,207,North Carolina,USA,2009,1,28,36,5.1,1.8,1.2,-3.1,0.7%,10.4%,14.6%,50.9%,11.7%
12,12,Wendell Carter Jr.,CHI,21,6-9,270,Duke,USA,2018,1,7,43,11.3,9.4,1.2,-0.5,10.2%,21.6%,16.2%,59.0%,6.2%
13,13,Wenyen Gabriel,POR,23,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,30,2.1,1.7,0.3,-7.2,8.0%,14.8%,12.4%,54.6%,4.6%
14,14,Wes Iwundu,ORL,25,6-6,195,Kansas State,USA,2017,2,33,52,5.8,2.5,1.2,-0.5,2.3%,10.9%,13.4%,54.4%,8.9%
15,15,Wesley Matthews,MIL,33,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted,67,7.4,2.5,1.4,12.2,1.3%,7.3%,12.3%,54.7%,7.0%
16,16,Will Barton,DEN,29,6-5,181,Memphis,USA,2012,2,40,58,15.1,6.3,3.7,5.8,4.0%,14.7%,19.7%,54.9%,15.7%
17,17,William Howard,HOU,26,6-8,207,None,France,Undrafted,Undrafted,Undrafted,2,0.0,1.0,0.5,-51.3,0.0%,25.0%,15.2%,0.0%,20.0%
18,18,Willie Cauley-Stein,DAL,26,7-0,240,Kentucky,USA,2015,1,6,54,7.2,5.8,1.3,-5.5,7.2%,20.2%,14.4%,58.9%,9.8%
19,19,Willy Hernangomez,CHA,26,6-11,250,None,Spain,2015,2,35,31,6.1,4.3,0.9,-2.6,10.5%,24.3%,22.2%,57.6%,13.6%
20,20,Wilson Chandler,BKN,33,6-8,235,DePaul,USA,2007,1,23,35,5.9,4.1,1.1,-6.4,1.4%,16.4%,12.8%,53.1%,8.0%
21,21,Yogi Ferrell,SAC,27,6-0,178,Indiana,USA,Undrafted,Undrafted,Undrafted,50,4.4,1.0,1.4,-1.8,1.1%,8.5%,18.5%,52.8%,19.6%
22,22,Yuta Watanabe,MEM,25,6-8,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,18,2.0,1.1,0.3,4.0,5.9%,11.8%,14.9%,48.0%,6.6%
23,23,Zach Collins,POR,22,6-11,250,Gonzaga,USA,2017,1,10,11,7.0,6.3,1.5,6.5,9.5%,14.9%,12.6%,53.8%,6.7%
24,24,Zach LaVine,CHI,25,6-6,200,UCLA,USA,2014,1,13,60,25.5,4.8,4.2,-4.4,1.9%,12.5%,31.2%,56.8%,21.8%
25,25,Zach Norvell Jr.,GSW,22,6-5,205,Gonzaga,USA,2019,,,5,2.0,1.2,0.6,-32.3,0.0%,20.7%,14.7%,40.2%,9.1%
26,26,Zhaire Smith,PHI,21,6-3,205,Texas Tech,USA,2018,1,16,7,1.1,0.3,0.3,-12.3,0.0%,8.0%,16.5%,31.3%,8.3%
27,27,Zion Williamson,NOP,19,6-6,284,Duke,USA,2019,1,1,24,22.5,6.3,2.1,5.1,9.2%,11.4%,29.1%,61.6%,11.9%
28,28,Zylan Cheatham,NOP,24,6-5,220,Arizona State,USA,Undrafted,Undrafted,Undrafted,4,3.0,2.3,0.8,-23.9,6.2%,12.8%,10.3%,66.7%,9.4%
