,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Shaquille Harrison,CHI,26,6-7,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,43,4.9,2.0,1.1,6.8,4.2%,13.9%,17.6%,55.9%,14.7%
1,Sindarius Thornwell,NOP,25,6-4,215,South Carolina,USA,2017,2,48,2,8.0,2.0,2.0,-7.4,0.0%,13.3%,17.6%,62.7%,14.3%
2,Skal Labissiere,ATL,24,6-10,235,Kentucky,Haiti,2016,1,28,33,5.8,5.1,1.3,1.3,10.5%,15.5%,13.9%,58.8%,10.6%
3,Solomon Hill,MIA,29,6-6,226,Arizona,USA,2013,1,23,59,5.5,2.8,1.8,-2.1,2.6%,11.8%,13.5%,53.5%,12.4%
4,Spencer Dinwiddie,BKN,27,6-5,215,Colorado,USA,2014,2,38,64,20.6,3.5,6.8,1.1,1.5%,8.5%,28.7%,54.1%,34.4%
5,Stanley Johnson,TOR,24,6-6,242,Arizona,USA,2015,1,8,25,2.4,1.5,0.8,4.8,4.1%,16.5%,21.4%,45.4%,20.0%
6,Stanton Kidd,UTA,28,6-6,216,Colorado State,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.8,0.3,2.3,0.0%,15.8%,13.9%,0.0%,10.0%
7,Stephen Curry,GSW,32,6-3,185,Davidson,USA,2009,1,7,5,20.8,5.2,6.6,-15.3,2.3%,16.2%,28.6%,55.7%,35.5%
8,Sterling Brown,MIL,25,6-5,219,Southern Methodist,USA,2017,2,46,52,5.1,3.5,1.0,2.4,3.7%,16.8%,16.2%,48.6%,9.4%
9,Steven Adams,OKC,26,6-11,265,Pittsburgh,New Zealand,2013,1,12,63,10.9,9.3,2.3,4.4,12.8%,21.4%,16.8%,60.4%,12.8%
10,Svi Mykhailiuk,DET,23,6-7,205,Kansas,Ukraine,2018,2,47,56,9.0,1.9,1.9,-0.6,1.3%,7.1%,16.5%,57.8%,12.0%
11,T.J. Leaf,IND,23,6-10,222,UCLA,USA,2017,1,18,28,3.0,2.5,0.3,0.2,9.4%,17.4%,18.0%,45.1%,5.7%
12,T.J. McConnell,IND,28,6-1,190,Arizona,USA,2015,0,,71,6.5,2.7,5.0,1.1,2.8%,10.7%,16.7%,54.0%,35.4%
13,T.J. Warren,IND,26,6-8,220,North Carolina State,USA,2014,1,14,67,19.8,4.2,1.5,2.7,3.1%,9.2%,22.9%,61.0%,7.2%
14,Tacko Fall,BOS,24,7-5,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,7,3.3,2.1,0.1,12.7,3.6%,32.6%,25.0%,75.1%,6.7%
15,Taj Gibson,NYK,35,6-9,232,Southern California,USA,2009,1,26,62,6.1,4.3,0.8,-12.5,9.8%,15.8%,14.5%,61.0%,7.7%
16,Talen Horton-Tucker,LAL,19,6-4,234,Iowa State,USA,2019,2,46,6,5.7,1.2,1.0,-9.5,2.2%,5.6%,18.0%,53.5%,10.7%
17,Tariq Owens,PHX,25,6-10,205,Texas Tech,USA,Undrafted,Undrafted,Undrafted,3,1.3,1.0,0.0,-43.4,10.5%,6.7%,17.1%,34.0%,0.0%
18,Taurean Prince,BKN,26,6-7,218,Baylor,USA,2016,1,12,64,12.1,6.0,1.8,1.3,2.4%,16.2%,20.0%,49.7%,9.0%
19,Terance Mann,LAC,23,6-5,215,Florida State,USA,2019,2,48,41,2.4,1.3,1.3,0.1,2.6%,11.2%,12.3%,54.5%,20.9%
20,Terence Davis,TOR,23,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,72,7.5,3.3,1.6,7.9,3.9%,13.7%,18.1%,58.8%,14.0%
21,Terrance Ferguson,OKC,22,6-6,190,None,USA,2017,1,21,56,3.9,1.3,0.9,-4.0,1.9%,3.9%,9.2%,48.1%,5.5%
22,Terrence Ross,ORL,29,6-6,206,Washington,USA,2012,1,8,69,14.7,3.2,1.2,-2.5,0.6%,10.8%,21.6%,54.8%,7.2%
23,Terry Rozier,CHA,26,6-1,190,Louisville,USA,2015,1,16,63,18.0,4.4,4.1,-9.0,2.2%,10.7%,23.2%,55.3%,20.9%
24,Thabo Sefolosha,HOU,36,6-6,215,None,Switzerland,2006,1,13,41,2.2,2.3,0.6,3.9,4.3%,15.2%,10.0%,48.7%,7.4%
25,Thaddeus Young,CHI,32,6-8,235,Georgia Tech,USA,2007,1,12,64,10.3,4.9,1.8,-6.2,5.4%,14.5%,19.2%,52.1%,11.3%
26,Thanasis Antetokounmpo,MIL,27,6-6,219,None,Greece,2014,2,51,20,2.8,1.2,0.8,-6.8,8.5%,8.1%,20.2%,49.6%,17.4%
27,Theo Pinson,NYK,24,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,33,3.6,1.6,1.7,-4.6,2.4%,10.1%,21.8%,37.0%,24.0%
28,Thomas Bryant,WAS,22,6-10,248,Indiana,USA,2017,2,42,46,13.2,7.2,1.8,-6.6,8.1%,19.8%,18.5%,64.9%,10.7%
29,Thon Maker,DET,23,7-0,221,None,South Sudan,2016,1,10,60,4.7,2.8,0.7,-8.0,6.9%,15.2%,16.0%,58.2%,8.8%
30,Tim Frazier,DET,29,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted,27,3.6,1.2,3.4,-6.9,2.4%,7.1%,17.1%,46.4%,39.1%
31,Tim Hardaway Jr.,DAL,28,6-5,205,Michigan,USA,2013,1,24,71,15.8,3.3,1.9,5.9,1.1%,9.0%,20.4%,58.1%,9.6%
32,Timothe Luwawu-Cabarrot,BKN,25,6-7,220,None,France,2016,1,24,47,7.8,2.7,0.6,-1.3,3.0%,9.9%,16.2%,59.9%,5.2%
33,Tobias Harris,PHI,27,6-8,226,Tennessee,USA,2011,1,19,72,19.6,6.9,3.2,3.1,2.7%,17.2%,23.6%,55.6%,14.5%
34,Tomas Satoransky,CHI,28,6-7,210,None,Czech Republi...,2012,2,32,65,9.9,3.9,5.4,-1.5,4.0%,10.1%,16.5%,53.3%,26.9%
35,Tony Bradley,UTA,22,6-10,248,North Carolina,USA,2017,1,28,58,4.9,4.6,0.4,0.1,15.8%,22.6%,14.7%,68.1%,5.1%
36,Tony Snell,DET,28,6-6,213,New Mexico,USA,2013,1,20,59,8.0,1.9,2.2,-5.5,0.5%,6.4%,11.0%,59.8%,11.0%
37,Torrey Craig,DEN,29,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,58,5.4,3.3,0.8,-5.7,5.8%,11.8%,12.3%,55.3%,6.1%
38,Trae Young,ATL,21,6-1,180,Oklahoma,USA,2018,1,5,60,29.6,4.3,9.3,-4.9,1.4%,10.0%,33.9%,59.5%,42.3%
39,Tremont Waters,BOS,22,5-10,175,Louisiana State,USA,2019,2,51,11,3.6,1.1,1.5,8.4,0.0%,8.9%,23.2%,38.1%,19.5%
40,Treveon Graham,ATL,26,6-5,219,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,55,4.4,2.7,0.8,-6.2,5.0%,9.9%,13.0%,45.6%,6.9%
41,Trevor Ariza,POR,35,6-8,215,UCLA,USA,2004,2,43,53,8.0,4.6,1.7,-0.3,2.2%,13.7%,11.7%,59.3%,8.1%
42,Trey Burke,DAL,27,6-0,185,Michigan,USA,2013,1,9,33,7.4,1.5,2.5,2.0,3.0%,6.6%,19.6%,54.8%,23.4%
43,Trey Lyles,SAS,24,6-9,234,Kentucky,Canada,2015,1,12,63,6.4,5.7,1.1,-2.4,5.6%,22.8%,13.6%,55.7%,7.2%
44,Tristan Thompson,CLE,29,6-9,254,Texas-Austin,Canada,2011,1,4,57,12.0,10.1,2.1,-10.1,12.6%,20.7%,18.1%,54.0%,10.6%
45,Troy Brown Jr.,WAS,20,6-6,215,Oregon,USA,2018,1,15,69,10.4,5.6,2.6,-5.5,4.0%,17.1%,17.4%,52.4%,14.2%
46,Troy Daniels,DEN,28,6-4,200,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,47,4.3,1.1,0.4,0.4,2.0%,6.8%,15.5%,51.8%,4.7%
47,Ty Jerome,PHX,22,6-5,195,Virginia,USA,2019,1,24,31,3.3,1.5,1.4,-13.5,1.9%,12.0%,17.0%,42.5%,22.2%
48,Tyler Cook,DEN,22,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted,13,1.8,1.1,0.1,-9.8,10.3%,14.8%,15.0%,74.1%,3.1%
49,Tyler Herro,MIA,20,6-5,195,Kentucky,USA,2019,1,13,55,13.5,4.1,2.2,-1.7,1.1%,13.1%,21.3%,55.0%,13.1%
